Timestamp,Location ID,Vehicle Count,Traffic Direction,Event Indicator,Weather Conditions,Longitude,Latitude,Average Vehicle Speed (km/h),Real-Time Sensor Data,Historical Traffic Patterns,Congestion Indicator,Tweet Content,Hashtag,Emotion,Emotion Intensity,Social Media Sentiment Score
2025-04-28 07:08,29,106,Westbound,Festival,Rainy,78.051423,17.642485,86.27502615870252,4,197.8944491560848,0.1424372503786262,This is a traffic-related tweet mentioning Festival.,#Roadwork,Joy,0.34446043827675277,0.27
2025-04-1 03:03,19,68,Eastbound,Accident,Foggy,78.867568,17.234208,35.529864574447345,64,482.6835185663941,0.3024525166365316,This is a traffic-related tweet mentioning Festival.,#Roadwork,Fear,0.4386485037791269,0.71
2025-04-4 10:52,15,439,Northbound,Accident,Stormy,78.322569,17.179047,57.119048663730574,0,115.56839459572303,0.421346498244095,This is a traffic-related tweet mentioning Festival.,#TrafficJam,Anger,0.6324457717646269,0.92
2025-04-7 22:53,15,188,Eastbound,Accident,Foggy,78.78622,17.602354,32.40594268931435,53,98.29526477724752,0.3061076259745762,This is a traffic-related tweet mentioning Accident.,#Accident,Fear,0.8166657337725574,0.56
2025-04-9 12:52,3,210,Westbound,None,Foggy,78.350777,17.379052,28.241105372937028,74,285.57821804315745,0.17073773825729843,This is a traffic-related tweet mentioning Accident.,#TrafficJam,Fear,0.6413912379378788,0.46
2025-04-23 12:08,7,261,Eastbound,Accident,Foggy,78.692743,17.562347,86.50739264613972,54,202.20828640897628,0.7552709394205706,This is a traffic-related tweet mentioning Festival.,#Accident,Disgust,0.19202771906017713,0.15
2025-04-7 02:21,21,376,Eastbound,None,Rainy,78.473694,17.469011,87.86871213025672,12,375.2420816635169,0.9626967333810315,This is a traffic-related tweet mentioning Festival.,#Roadwork,Fear,0.5815014296225807,0.41
2025-04-26 02:39,39,249,Southbound,Accident,Rainy,78.433391,17.664235,34.10171855072548,74,379.7299192569626,0.8459896210343001,This is a traffic-related tweet mentioning Festival.,#Accident,Anger,0.03284391373830464,0.67
2025-04-13 07:23,5,215,Southbound,Festival,Stormy,78.80015,17.972436,47.387149015563885,19,395.1221404922484,0.7722677214475552,This is a traffic-related tweet mentioning None.,#TrafficJam,Surprise,0.6682938027507216,0.5
2025-04-12 12:49,48,460,Southbound,None,Foggy,78.692687,17.104712,65.57738138444478,80,457.71728975223067,0.05179579923688715,This is a traffic-related tweet mentioning Accident.,#Congestion,Fear,0.5881977471161635,0.08
2025-04-19 16:41,11,331,Westbound,Roadwork,Stormy,78.898068,17.733784,48.45367202173968,69,499.84918928775704,0.023530530200962407,This is a traffic-related tweet mentioning Accident.,#TrafficJam,Anger,0.47562509327957847,0.54
2025-04-23 16:55,18,48,Westbound,Festival,Rainy,78.238517,17.687767,82.42425778199296,75,63.02997853233329,0.8873575595962002,This is a traffic-related tweet mentioning Festival.,#Accident,Joy,0.9085321203726993,0.01
2025-04-14 14:17,41,56,Southbound,None,Clear,78.548061,17.422724,58.21528824750635,80,333.53351913494106,0.33748688522416204,This is a traffic-related tweet mentioning Accident.,#Congestion,Disgust,0.9279397799459425,0.71
2025-04-13 15:56,26,331,Westbound,Accident,Foggy,78.126261,17.985846,43.19019356852712,12,207.54906412430338,0.9495487224931841,This is a traffic-related tweet mentioning Accident.,#TrafficJam,Fear,0.44549983469555343,0.27
2025-04-10 13:53,45,239,Southbound,Roadwork,Rainy,78.293793,17.490881,70.01946718972401,1,342.4649484653981,0.8200486652556981,This is a traffic-related tweet mentioning Accident.,#Congestion,Disgust,0.14607302063178884,0.28
2025-04-16 06:12,34,268,Westbound,None,Rainy,78.505522,17.826085,65.90925831228876,71,412.708939593603,0.6899948598858361,This is a traffic-related tweet mentioning Accident.,#TrafficJam,Surprise,0.09801839159542824,0.44
2025-04-3 08:05,44,378,Southbound,Festival,Rainy,78.207093,17.614915,73.96965407060694,36,353.86410796526195,0.1197528697309258,This is a traffic-related tweet mentioning Roadwork.,#Accident,Fear,0.8495887047472928,0.72
2025-04-4 07:13,35,480,Northbound,Festival,Clear,78.621284,17.68414,78.88523217158172,70,193.91823853232924,0.26174829062898874,This is a traffic-related tweet mentioning Festival.,#Congestion,Fear,0.9970047897099538,0.93
2025-04-3 01:24,7,333,Northbound,Festival,Rainy,78.44442,17.17026,22.84649194239476,6,53.79096353582538,0.3132174234549403,This is a traffic-related tweet mentioning Festival.,#Congestion,Joy,0.4383426282380083,0.19
